Country Code,Country name,SI.POV.GAPS,SH.STA.MMRT.NE,SP.POP.GROW,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS,EN.POP.DNST,NY.GDP.MKTP.CD,SE.ADT.LITR.ZS,SH.STA.MMRT,AG.LND.TOTL.K2,SP.RUR.TOTL.ZS,NY.GNP.MKTP.CD,IT.CEL.SETS.P2,SH.DYN.MORT,SH.STA.STNT.ZS
TGO,Togo,,,2.1981764691320427,,36.1242,103.93107188821475,2523461504.2517605,,,54390.0,58.7,2493198623.6445,21.0571165390104,116.5,
DEU,Germany,,,-0.13371857260048556,8.600000381469727,73.539,235.9433619181461,3323807412152.119,,,348670.0,26.439999999999998,3381058745917.951,116.622932073648,4.5,
GUM,Guam,,,1.341647152222312,,93.1314,320.9888888888889,,,,540.0,6.859999999999999,,,,
LKA,Sri Lanka,0.98,,0.9073426160604519,6.0,15.0926,319.5503109551906,32351184234.315674,,,62710.0,84.9,31998137768.93871,39.3813292434113,14.4,17.3
EMU,Euro area,,,0.5683270207076987,7.456910084514748,74.45041647510483,128.51530914505133,12368830084902.98,98.85691549,,2552200.0,26.977872382597717,12381844527220.62,116.09916526996763,4.638341018866219,
UGA,Uganda,,,3.2481221827023483,,14.012,151.8437265402132,11916019462.507149,,,199810.0,87.18,11687447962.382652,13.8275956459309,106.6,
GBR,United Kingdom,,,0.6432160096052515,5.199999809265137,79.2074,252.08386310089696,2812874670849.9077,,,241930.0,10.14,2852074545992.9727,121.249486892437,5.7,
GUY,Guyana,,112.5,0.23318387836606846,,28.3092,3.8103530607061216,1740335068.5292537,,,196850.0,71.68,1704614193.4633603,71.8300207447858,40.3,18.2
CRI,Costa Rica,1.14,,1.6025828727584492,4.599999904632568,62.698,87.20344692518606,26321999643.155773,,,51060.0,37.26,25574332256.13433,33.8727101060772,10.4,
CMR,Cameroon,1.2,,2.213007751520041,2.9000000953674316,49.7294,38.818772608999176,20684301372.253193,70.6799377977052,,472710.0,44.06,20605932826.430477,24.7193164128087,133.5,
LDC,Least developed countries: UN classification,,,2.2085506567375575,,26.97283200553996,38.34647983707206,445462940047.0682,,,20165970.0,72.11428143919737,430674152738.01337,15.106439541949223,110.99665701049554,
MAR,Morocco,0.54,,1.001786228630004,9.699999809265137,55.6524,69.4850974680708,75226318359.375,,,446300.0,44.32,74246093750.0,64.5873124737937,39.1,
MNP,Northern Mariana Islands,,,-2.5424253079505275,,91.0002,139.88913043478263,,,,460.0,9.0,,,,
LSO,Lesotho,,,0.9813306784738485,,24.7044,69.37180500658762,1597463724.029479,,,30360.0,75.26,2024836897.7401385,21.6511057257679,110.7,
OSS,Other small states,,,1.684340505548846,,45.25607338102062,9.436119778124459,70036966356.35199,,,1846080.0,54.866934805426354,63638997690.24161,41.74216183659511,89.5152925507247,
TKM,Turkmenistan,,,1.1799708159425364,,47.5928,10.339503755878535,12664165103.189493,,,469930.0,51.82,11917165103.189493,7.85516222689229,58.7,
VCT,St. Vincent and the Grenadines,,,0.13028839615663246,,47.781,279.64102564102564,684691914.8148148,,,390.0,53.34,662685632.6507071,101.312121767834,21.3,
TTO,Trinidad and Tobago,,,0.3971147545726344,5.5,12.6508,258.4155945419103,21735387008.205177,,,5130.0,87.12,20771687008.205177,113.889408541479,29.1,
NLD,Netherlands,,,0.21752160119424183,3.200000047683716,81.202,485.23981042654026,782566743038.2761,,,33760.0,18.72,795571815317.5718,117.280505596047,4.9,
BMU,Bermuda,,,0.31347962382446415,,100.0,1280.0,5895048000.0,,,50.0,0.0,,106.973427180553,,
MNA,Middle East & North Africa (developing only),,,1.776363852951519,10.827586743949656,57.91960143882779,36.38494734248154,903766282688.8057,,,8643590.0,42.775670747146826,1018425398299.0513,48.2494005287925,36.88165566041253,
TCD,Chad,,,2.813570817798641,,21.6718,8.236847998729353,7016297534.4755535,,,1259200.0,73.78,5816548265.775177,8.85432178420818,176.1,
GEO,Georgia,4.11,,-0.21851961713707319,13.300000190734863,52.5788,76.77665418664054,10172869673.584255,,,69490.0,47.34,10209835543.922773,58.8709217211403,24.3,
MNE,Montenegro,0.09,13.0,0.14150990858995002,,62.5584,46.68862453531599,3668857103.750342,,,13450.0,39.48,3711639918.1023393,111.949449170491,9.0,
MNG,Mongolia,,89.6,1.5499905982552935,,64.5232,1.689351553850511,4234894168.156594,,,1553560.0,42.98,4137354777.0308037,45.5164375507952,40.1,
